properties_group,name,type,description,pattern,default,maximum,minimum
animal_properties,pen_information_properties_properties_bedding_name,string,Name of the bedding configuration used for this manure stream. Must match the name of a bedding configuration listed in the animal management file (default file name: refreshed_default_animal.json).,,,,
animal_properties,pen_information_properties_properties_stream_proportion,number,"For animals in a single pen, the proportion of manure produced outside of manure deposited in or while moving to or from the milking parlor that is assigned to this manure stream. The proportions of all manure streams defined for one pen must sum to 1.",,,1.0,0.0
animal_properties,pen_information_properties_properties_first_processor,string,Name of the first processor in the manure module that this manure stream enters. Must match the name of processor listed in the manure processors input file (cannot be assigned to a parlor stream handler).,,,,
animal_properties,bedding_configs_properties_name,string,Unique identifier to reference this bedding configuration. This value should be unique and cannot match the name of any other bedding.,,,,
animal_properties,bedding_configs_properties_bedding_type,string,The type of bedding material.,^(sand|straw|sawdust|manure solids|CBPB sawdust|none)$,,,
animal_properties,bedding_configs_properties_bedding_mass_per_day,number,"The daily mass of fresh bedding added to the housing area per animal per day on a wet weight basis (kg). Bedding mass is applied based on the total number of animals in the pen, and is not based on the stream proportion of the manure stream the bedding is assigned to.",,,,0
animal_properties,bedding_configs_properties_bedding_density,number,The density of the bedding on a wet weight basis (kg/m3),,,,0
animal_properties,bedding_configs_properties_bedding_dry_matter_content,number,The fraction (0.XX) of dry matter in the bedding (unitless).,,,1,0
animal_properties,bedding_configs_properties_bedding_carbon_fraction,number,"The bedding carbon content as a fraction (0.XX) of total mass, on a wet weight basis (unitless).",,,1,0
animal_properties,bedding_configs_properties_bedding_phosphorus_content,number,"The bedding phosphorus content as a fraction (0.XX) of total mass, on a wet weight basis (unitless).",,,1,0
animal_properties,bedding_configs_properties_sand_removal_efficiency,number,"The fraction (0.XX) of the fresh sand added each day that is assumed to be removed by a sand separator, settling lane, etc. immediately following manure removal from the barn (unitless)",,,1,0
animal_population_properties,calves_properties_id,number,Unique integer identifier.,,,,1
animal_population_properties,calves_properties_animal_type,string,Animal type.,^(Calf|HeiferI|HeiferII|HeiferIII|DryCow|LacCow)$,,,
animal_population_properties,calves_properties_breed,string,Breed.,^(HO|JE)$,,,
animal_population_properties,calves_properties_days_born,number,Days born.,,,,0
animal_population_properties,calves_properties_birth_weight,number,Birth weight.,,,,0
animal_population_properties,calves_properties_body_weight,number,Body weight.,,,,0
animal_population_properties,calves_properties_wean_weight,number,Wean weight.,,,,0
animal_population_properties,calves_properties_mature_body_weight,number,Mature Body weight.,,,,0
animal_population_properties,calves_properties_events,string,No description available,,,,
animal_population_properties,calves_properties_net_merit,number,The net merit value.,,0.0,,
animal_population_properties,heiferIs_properties_id,number,Unique integer identifier.,,,,1
animal_population_properties,heiferIs_properties_animal_type,string,Animal type.,^(Calf|HeiferI|HeiferII|HeiferIII|DryCow|LacCow)$,,,
animal_population_properties,heiferIs_properties_breed,string,Breed.,^(HO|JE)$,,,
animal_population_properties,heiferIs_properties_days_born,number,Days born.,,,,0
animal_population_properties,heiferIs_properties_birth_weight,number,Birth weight.,,,,0
animal_population_properties,heiferIs_properties_body_weight,number,Body weight.,,,,0
animal_population_properties,heiferIs_properties_wean_weight,number,Wean weight.,,,,0
animal_population_properties,heiferIs_properties_mature_body_weight,number,Mature Body weight.,,,,0
animal_population_properties,heiferIs_properties_events,string,No description available,,,,
animal_population_properties,heiferIs_properties_net_merit,number,The net merit value.,,0.0,,
animal_population_properties,heiferIIs_properties_id,number,Unique integer identifier.,,,,1
animal_population_properties,heiferIIs_properties_animal_type,string,Animal type.,^(Calf|HeiferI|HeiferII|HeiferIII|DryCow|LacCow)$,,,
animal_population_properties,heiferIIs_properties_breed,string,Breed.,^(HO|JE)$,,,
animal_population_properties,heiferIIs_properties_days_born,number,Days born.,,,,0
animal_population_properties,heiferIIs_properties_birth_weight,number,Birth weight.,,,,0
animal_population_properties,heiferIIs_properties_body_weight,number,Body weight.,,,,0
animal_population_properties,heiferIIs_properties_wean_weight,number,Wean weight.,,,,0
animal_population_properties,heiferIIs_properties_mature_body_weight,number,Mature Body weight.,,,,0
animal_population_properties,heiferIIs_properties_events,string,No description available,,,,
animal_population_properties,heiferIIs_properties_heifer_reproduction_program,string,Heifer Reproduction Program,^(TAI|ED|SynchED)$,,,
animal_population_properties,heiferIIs_properties_heifer_reproduction_sub_protocol,string,No description available,^(5dCG2P|5dCGP|2P|CP|N/A)$,,,
animal_population_properties,heiferIIs_properties_estrus_count,number,Estrus count.,,,,0
animal_population_properties,heiferIIs_properties_estrus_day,number,Estrus Day.,,,,0
